customer_intent_score,discount_offered,won_lost,reward
93,5,1,95
56,5,1,95
73,8,0,-92
93,2,1,98
53,0,1,100
75,30,0,-70
73,1,1,99
60,44,0,-56
94,41,1,59
64,31,0,-69
85,21,0,-79
81,46,1,54
96,30,1,70
70,26,0,-74
61,3,1,97
61,31,1,69
72,0,1,100
79,49,1,51
52,47,0,-53
45,35,0,-65
69,7,1,93
77,43,0,-57
68,38,1,62
75,48,0,-52
77,40,1,60
96,38,0,-62
43,22,1,78
52,0,1,100
65,3,0,-97
47,22,1,78
24,27,1,73
79,7,1,93
47,25,0,-75
49,26,0,-74
65,7,1,93
76,49,1,51
76,2,1,98
34,31,1,69
60,44,0,-56
70,25,1,75
45,32,1,68
84,44,1,56
68,3,1,97
88,3,0,-97
31,23,1,77
32,28,1,72
61,6,1,94
41,23,1,77
86,25,0,-75
49,28,1,72
58,8,0,-92
55,3,0,-97
52,11,0,-89
87,31,0,-69
51,36,1,64
63,32,0,-68
77,39,1,61
78,0,1,100
70,5,1,95
61,46,0,-54
89,4,1,96
72,22,1,78
39,24,1,76
51,1,0,-99
76,43,1,57
95,34,0,-66
54,6,1,94
78,8,1,92
74,50,0,-50
62,17,1,83
41,29,1,71
78,28,1,72
67,5,0,-95
46,30,1,70
89,5,1,95
78,32,0,-68
62,7,1,93
65,10,1,90
90,26,1,74
61,12,1,88
53,12,1,88
41,34,0,-66
62,42,1,58
72,43,1,57
77,23,1,77
66,9,0,-91
69,41,1,59
61,4,0,-96
55,3,0,-97
77,1,1,99
63,43,1,57
59,0,1,100
47,24,0,-76
75,33,1,67
68,3,1,97
40,27,1,73
76,1,0,-99
79,44,1,56
69,35,1,65
55,39,1,61
42,21,0,-79
70,25,1,75
48,22,1,78
57,42,1,58
75,40,1,60
64,42,1,58
71,0,1,100
66,4,1,96
80,37,0,-63
34,23,1,77
75,42,1,58
41,35,1,65
77,38,1,62
74,5,1,95
50,0,1,100
10,26,0,-74
83,47,0,-53
21,27,1,73
36,24,1,76
61,6,1,94
77,6,0,-94
55,5,1,95
59,33,1,67
76,30,1,70
58,35,1,65
61,10,0,-90
81,43,1,57
85,22,1,78
88,21,1,79
79,8,1,92
67,10,1,90
48,34,1,66
91,2,1,98
76,3,0,-97
95,2,1,98
55,7,0,-93
66,36,1,64
58,2,0,-98
82,3,1,97
92,21,1,79
61,47,1,53
35,35,1,65
82,1,1,99
31,35,1,65
61,0,1,100
57,46,0,-54
64,5,1,95
47,32,0,-68
78,0,1,100
66,35,1,65
60,7,1,93
72,5,0,-95
62,40,0,-60
33,26,0,-74
73,26,0,-74
74,5,1,95
51,35,1,65
57,20,0,-80
28,29,0,-71
55,33,0,-67
95,31,1,69
66,2,0,-98
85,48,1,52
60,50,0,-50
40,34,0,-66
21,33,1,67
43,27,0,-73
70,8,1,92
39,34,0,-66
78,0,0,-100
38,31,0,-69
77,5,1,95
33,30,1,70
87,47,1,53
84,35,0,-65
68,3,1,97
78,50,0,-50
33,29,0,-71
67,41,1,59
54,17,1,83
88,33,0,-67
60,50,0,-50
23,22,0,-78
81,2,1,98
72,21,1,79
70,50,1,50
70,3,1,97
60,36,1,64
72,6,1,94
67,45,0,-55
79,7,1,93
83,3,1,97
92,31,0,-69
69,4,1,96
56,12,1,88
62,6,1,94
79,2,1,98
40,30,1,70
97,21,0,-79
81,7,1,93
80,23,1,77
64,35,1,65
52,47,1,53
68,33,0,-67
84,49,0,-51
47,31,1,69
68,3,1,97
13,25,0,-75
32,28,1,72
77,5,1,95
60,43,1,57
73,33,1,67
86,2,1,98
72,42,1,58
64,8,1,92
36,24,1,76
35,35,1,65
38,25,0,-75
54,0,0,-100
78,3,1,97
88,18,1,82
61,32,0,-68
88,8,1,92
43,25,1,75
68,7,1,93
79,5,1,95
13,30,0,-70
79,6,1,94
82,28,1,72
78,40,1,60
69,4,1,96
63,2,1,98
79,46,1,54
71,50,0,-50
75,31,0,-69
38,24,1,76
91,31,0,-69
59,9,1,91
67,50,1,50
44,34,0,-66
31,30,0,-70
66,9,0,-91
52,3,0,-97
69,5,1,95
26,22,0,-78
81,2,1,98
79,5,0,-95
50,8,0,-92
65,3,1,97
79,2,1,98
41,29,1,71
79,27,0,-73
80,37,1,63
73,40,0,-60
87,37,0,-63
86,9,1,91
93,5,1,95
64,48,1,52
58,48,0,-52
53,7,1,93
55,50,1,50
23,32,0,-68
70,1,1,99
84,19,1,81
70,29,1,71
77,0,0,-100
76,35,0,-65
35,25,1,75
98,32,0,-68
52,41,0,-59
55,12,1,88
72,31,0,-69
70,37,1,63
84,6,1,94
38,27,1,73
65,34,0,-66
86,45,0,-55
26,25,1,75
66,38,0,-62
52,42,1,58
65,6,1,94
52,41,1,59
71,0,1,100
73,25,1,75
96,19,0,-81
50,33,1,67
40,33,0,-67
88,17,1,83
61,36,1,64
78,35,0,-65
80,46,1,54
74,27,1,73
82,49,1,51
86,47,1,53
68,12,0,-88
58,40,1,60
66,32,1,68
88,1,1,99
36,29,0,-71
53,12,1,88
75,49,1,51
77,22,0,-78
69,2,1,98
26,32,0,-68
66,31,1,69
72,22,1,78
72,24,1,76
65,40,1,60
84,26,1,74
26,26,0,-74
45,28,1,72
84,32,1,68
62,9,0,-91
31,27,0,-73
91,39,0,-61
64,3,1,97
78,44,1,56
69,10,0,-90
60,1,1,99
41,31,1,69
62,14,1,86
75,2,1,98
25,23,1,77
52,8,1,92
39,29,1,71
76,27,1,73
65,36,1,64
66,33,0,-67
64,3,1,97
71,1,1,99
59,11,1,89
88,35,1,65
49,27,1,73
69,8,0,-92
16,32,0,-68
85,47,1,53
99,1,1,99
81,8,1,92
83,38,1,62
62,46,1,54
52,4,1,96
69,14,0,-86
64,36,0,-64
52,8,1,92
52,41,1,59
68,4,0,-96
43,29,1,71
68,33,0,-67
66,40,0,-60
87,45,1,55
35,24,0,-76
39,27,1,73
84,3,1,97
71,38,0,-62
66,2,0,-98
60,35,1,65
54,41,1,59
43,27,0,-73
77,0,1,100
70,28,1,72
71,7,1,93
64,3,0,-97
75,36,1,64
89,0,1,100
66,11,0,-89
12,24,1,76
76,7,1,93
76,23,1,77
60,49,0,-51
30,33,0,-67
80,1,1,99
68,11,1,89
95,27,1,73
99,0,1,100
60,0,0,-100
19,35,1,65
85,32,1,68
54,11,1,89
57,6,1,94
89,30,1,70
99,23,0,-77
76,35,0,-65
67,45,1,55
67,38,1,62
45,32,1,68
57,41,0,-59
52,20,1,80
53,34,1,66
42,25,1,75
73,5,1,95
21,34,0,-66
51,41,0,-59
92,41,0,-59
47,35,1,65
32,28,0,-72
49,32,0,-68
71,27,0,-73
97,45,1,55
85,19,1,81
41,32,0,-68
67,39,1,61
22,22,0,-78
77,42,1,58
61,16,1,84
28,33,1,67
78,2,1,98
76,6,1,94
77,33,0,-67
85,10,1,90
84,40,1,60
41,28,0,-72
85,28,1,72
61,2,1,98
95,30,0,-70
74,30,0,-70
46,31,0,-69
98,44,1,56
93,49,1,51
59,42,1,58
63,6,1,94
67,35,1,65
79,41,1,59
60,40,1,60
77,41,1,59
40,28,0,-72
79,7,0,-93
73,29,0,-71
90,10,0,-90
97,29,0,-71
11,24,1,76
32,25,0,-75
61,36,1,64
81,21,0,-79
60,9,1,91
62,41,0,-59
59,48,1,52
74,48,0,-52
57,36,0,-64
88,1,1,99
68,37,0,-63
75,1,0,-99
76,7,1,93
81,0,1,100
86,9,1,91
87,1,1,99
66,3,1,97
88,44,1,56
41,30,1,70
69,41,1,59
10,22,0,-78
87,27,1,73
34,31,0,-69
76,2,0,-98
66,4,1,96
40,22,0,-78
93,24,0,-76
68,36,0,-64
63,0,0,-100
55,46,1,54
78,48,1,52
56,7,1,93
69,5,1,95
75,1,1,99
56,2,1,98
65,36,1,64
58,42,1,58
75,0,0,-100
73,25,0,-75
43,33,1,67
74,43,1,57
77,39,1,61
36,24,1,76
54,4,1,96
21,32,1,68
55,0,0,-100
76,36,1,64
35,27,0,-73
46,28,0,-72
64,42,1,58
48,30,0,-70
37,29,1,71
62,4,1,96
75,8,1,92
61,7,1,93
97,2,1,98
72,46,1,54
16,27,1,73
79,44,0,-56
96,36,1,64
60,43,1,57
79,6,1,94
82,8,1,92
64,33,1,67
61,38,1,62
49,34,0,-66
92,1,1,99
12,32,1,68
74,29,1,71
53,37,1,63
41,33,1,67
23,29,0,-71
64,17,1,83
63,47,0,-53
32,23,0,-77
86,37,0,-63
78,31,1,69
62,47,1,53
82,41,1,59
62,8,1,92
64,50,1,50
58,50,0,-50
78,24,1,76
88,20,1,80
32,31,0,-69
78,0,1,100
62,32,1,68
49,32,0,-68
60,12,1,88
81,23,1,77
62,31,0,-69
68,11,0,-89
69,11,0,-89
52,11,0,-89
56,8,1,92
51,32,1,68
70,47,1,53
60,2,1,98
39,22,0,-78
57,45,1,55
99,10,1,90
64,7,1,93
85,0,1,100
68,0,0,-100
84,5,1,95
65,5,1,95
76,23,0,-77
63,33,1,67
47,26,0,-74
69,50,1,50
78,48,1,52
41,30,1,70
57,1,0,-99
64,0,1,100
38,25,0,-75
78,7,0,-93
65,0,1,100
79,40,0,-60
33,23,0,-77
70,38,0,-62
76,22,1,78
73,0,1,100
70,50,1,50
74,3,1,97
40,22,0,-78
32,31,1,69
47,34,1,66
70,43,0,-57
78,3,1,97
71,39,1,61
52,13,1,87
59,1,1,99
54,4,0,-96
14,29,0,-71
69,4,1,96
51,3,1,97
64,3,1,97
63,38,1,62
64,32,1,68
59,13,1,87
82,2,1,98
64,8,1,92
68,1,0,-99
50,3,1,97
94,22,0,-78
73,38,1,62
85,0,1,100
73,5,1,95
92,29,1,71
26,28,1,72
69,2,1,98
64,48,1,52
67,50,1,50
73,3,0,-97
12,31,1,69
72,7,1,93
85,41,1,59
79,43,1,57
29,30,1,70
70,31,0,-69
54,9,1,91
82,41,1,59
48,29,1,71
95,27,0,-73
61,35,0,-65
69,36,0,-64
26,23,1,77
86,1,0,-99
80,33,1,67
68,43,1,57
96,5,1,95
60,7,0,-93
97,8,1,92
62,6,0,-94
86,1,1,99
71,32,0,-68
61,5,1,95
43,31,0,-69
69,19,1,81
41,28,0,-72
40,27,1,73
91,45,0,-55
31,28,1,72
82,32,0,-68
22,30,0,-70
16,31,1,69
35,31,0,-69
83,2,1,98
51,47,1,53
69,19,1,81
82,36,0,-64
88,17,1,83
78,6,1,94
64,38,0,-62
66,18,1,82
84,33,0,-67
97,3,1,97
63,2,0,-98
73,7,1,93
93,42,1,58
88,43,1,57
13,35,0,-65
68,11,0,-89
69,10,1,90
55,48,1,52
67,12,1,88
59,14,0,-86
94,4,1,96
80,3,1,97
49,21,1,79
66,9,0,-91
48,33,0,-67
30,28,0,-72
65,41,1,59
75,6,0,-94
69,40,1,60
66,41,1,59
41,29,1,71
76,22,1,78
77,38,1,62
45,30,0,-70
30,23,1,77
46,23,0,-77
74,42,0,-58
83,46,0,-54
79,2,1,98
29,32,1,68
65,2,1,98
39,27,0,-73
54,2,0,-98
67,1,0,-99
67,6,1,94
63,49,0,-51
65,34,0,-66
75,6,1,94
78,4,1,96
44,27,1,73
75,4,1,96
68,45,0,-55
66,43,1,57
40,27,1,73
66,38,0,-62
55,42,1,58
71,3,1,97
81,1,1,99
81,2,1,98
69,33,1,67
67,20,1,80
11,21,1,79
61,7,1,93
66,42,1,58
92,3,1,97
59,33,1,67
25,28,0,-72
71,3,1,97
40,25,0,-75
39,28,1,72
95,4,1,96
51,3,1,97
75,7,1,93
92,24,0,-76
47,35,0,-65
86,49,1,51
81,39,1,61
86,6,1,94
63,48,1,52
32,33,1,67
73,47,1,53
45,25,0,-75
61,38,0,-62
76,5,1,95
93,3,1,97
92,0,1,100
70,35,1,65
84,37,1,63
56,36,0,-64
51,50,1,50
86,0,1,100
34,25,1,75
72,50,1,50
60,37,1,63
70,37,1,63
61,2,1,98
78,8,0,-92
72,26,0,-74
61,32,1,68
93,2,1,98
66,5,1,95
28,31,1,69
80,35,0,-65
54,40,1,60
25,32,1,68
98,2,1,98
86,36,1,64
59,6,1,94
68,38,1,62
58,1,1,99
43,28,0,-72
47,22,0,-78
61,3,0,-97
84,4,1,96
84,46,1,54
72,3,1,97
98,3,1,97
82,1,1,99
50,47,0,-53
44,27,1,73
69,5,1,95
98,23,1,77
66,36,1,64
66,18,1,82
99,1,1,99
95,27,1,73
84,31,0,-69
36,25,0,-75
65,50,1,50
59,47,1,53
71,37,0,-63
94,3,1,97
44,26,1,74
60,17,0,-83
77,4,1,96
72,40,0,-60
78,50,1,50
62,20,1,80
64,42,1,58
60,8,1,92
63,41,1,59
54,8,1,92
73,30,0,-70
50,3,1,97
64,8,0,-92
31,21,0,-79
81,16,1,84
74,32,0,-68
77,5,1,95
87,25,0,-75
75,30,0,-70
52,6,0,-94
40,35,0,-65
66,32,1,68
96,9,1,91
24,31,0,-69
82,3,1,97
35,29,1,71
26,32,0,-68
28,31,0,-69
63,2,0,-98
44,33,1,67
95,0,1,100
68,11,1,89
86,5,1,95
42,32,0,-68
75,6,1,94
85,28,1,72
56,43,0,-57
62,4,0,-96
11,29,0,-71
79,49,1,51
87,2,0,-98
36,22,0,-78
70,29,1,71
53,33,0,-67
37,29,1,71
80,17,1,83
56,5,1,95
68,47,1,53
78,39,0,-61
75,36,1,64
58,50,1,50
51,3,1,97
73,35,0,-65
98,41,1,59
76,6,0,-94
75,41,1,59
68,1,1,99
88,44,0,-56
56,18,1,82
72,6,1,94
60,12,1,88
72,8,1,92
67,6,1,94
42,28,1,72
63,45,1,55
25,23,1,77
55,47,0,-53
81,38,1,62
73,7,0,-93
37,21,0,-79
69,9,0,-91
61,0,1,100
79,28,1,72
88,4,1,96
28,26,1,74
66,6,1,94
49,29,1,71
71,8,0,-92
23,24,0,-76
58,49,0,-51
63,9,1,91
44,23,1,77
70,27,1,73
40,31,1,69
65,10,1,90
31,34,1,66
67,0,1,100
29,28,0,-72
68,0,1,100
69,6,1,94
30,33,1,67
30,34,1,66
60,2,1,98
62,12,1,88
69,33,1,67
71,37,1,63
58,45,0,-55
57,47,1,53
86,45,1,55
79,7,1,93
48,24,1,76
43,22,0,-78
75,2,1,98
37,33,1,67
78,34,1,66
67,34,1,66
87,3,1,97
69,50,0,-50
82,42,0,-58
40,29,0,-71
61,47,1,53
53,10,1,90
26,25,0,-75
